,date,mean_temperature,rainfall
0,5/4/2016,34.0,0.0
1,5/5/2016,31.0,0.0
2,5/6/2016,28.0,5.0
3,5/7/2016,30.0,0.0
4,5/8/2016,34.0,0.0
5,5/9/2016,34.0,0.0
6,5/10/2016,34.0,0.3
7,5/11/2016,32.0,0.8
8,5/12/2016,34.0,2.0
9,5/13/2016,34.0,0.3
10,5/14/2016,35.0,0.0
11,5/15/2016,36.0,0.0
12,5/16/2016,36.0,0.0
13,5/17/2016,35.0,3.0
14,5/18/2016,36.0,0.0
15,5/19/2016,38.0,0.0
16,5/20/2016,38.0,0.0
17,5/21/2016,38.0,0.0
18,5/22/2016,38.0,0.0
19,5/23/2016,34.0,0.0
20,5/24/2016,32.0,0.5
21,5/25/2016,34.0,0.0
22,5/26/2016,34.0,0.0
23,5/27/2016,36.0,0.0
24,5/28/2016,35.0,255.0
25,5/29/2016,33.0,255.0
26,5/30/2016,32.0,255.0
27,5/31/2016,34.0,255.0
28,6/1/2016,35.0,0.0
29,6/2/2016,36.0,0.0
30,6/3/2016,38.0,0.0
31,6/4/2016,38.0,0.0
32,6/5/2016,38.0,0.0
33,6/6/2016,36.0,0.0
34,6/7/2016,38.0,0.0
35,6/8/2016,38.0,0.0
36,6/9/2016,36.0,0.0
37,6/10/2016,37.0,0.0
38,6/11/2016,34.0,0.0
39,6/12/2016,34.0,0.0
40,6/13/2016,35.0,0.0
41,6/14/2016,34.0,0.0
42,6/15/2016,34.0,0.0
43,6/16/2016,35.0,0.0
44,6/17/2016,36.0,0.0
45,6/18/2016,36.0,0.0
46,6/19/2016,35.0,0.0
47,6/20/2016,35.0,0.0
48,6/21/2016,34.0,0.0
49,6/22/2016,32.0,3.0
50,6/23/2016,34.0,0.0
51,6/24/2016,34.0,0.0
52,6/25/2016,34.0,0.0
53,6/26/2016,34.0,2.0
54,6/27/2016,34.0,0.2
55,6/28/2016,30.0,4.0
56,6/29/2016,32.0,0.0
57,6/30/2016,36.0,0.0
58,7/1/2016,28.0,0.0
59,7/2/2016,26.0,6.0
60,7/3/2016,28.0,0.0
61,7/4/2016,30.0,0.0
62,7/5/2016,32.0,0.0
63,7/6/2016,34.0,0.0
64,7/7/2016,33.0,0.0
65,7/8/2016,33.0,0.0
66,7/9/2016,32.0,0.0
67,7/10/2016,31.0,0.7
68,7/11/2016,29.0,16.0
69,7/12/2016,28.0,0.2
70,7/13/2016,30.0,5.0
71,7/14/2016,30.0,0.0
72,7/15/2016,26.0,0.6
73,7/16/2016,26.0,23.0
74,7/17/2016,27.0,51.0
75,7/18/2016,28.0,0.0
76,7/19/2016,30.0,0.0
77,7/20/2016,30.0,0.0
78,7/21/2016,32.0,0.0
79,7/22/2016,32.0,0.0
80,7/23/2016,32.0,0.0
81,7/24/2016,30.0,0.0
82,7/25/2016,30.0,0.0
83,7/26/2016,30.0,0.0
84,7/27/2016,27.0,0.0
85,7/28/2016,28.0,6.0
86,7/29/2016,27.0,36.0
87,7/30/2016,28.0,21.0
88,7/31/2016,28.0,9.0
89,8/1/2016,28.0,0.0
90,8/2/2016,26.0,9.0
91,8/3/2016,28.0,35.0
92,8/4/2016,27.0,16.0
93,8/5/2016,28.0,15.0
94,8/6/2016,66.0,0.0
95,8/7/2016,29.0,0.0
96,8/8/2016,28.0,0.0
97,8/9/2016,28.0,23.0
98,8/10/2016,26.0,2.0
99,8/11/2016,25.0,2.0
100,8/12/2016,26.0,5.0
101,8/13/2016,28.0,0.0
102,8/14/2016,28.0,0.0
103,8/15/2016,178.0,0.0
104,8/16/2016,27.0,0.0
105,8/17/2016,28.0,0.0
106,8/18/2016,26.0,2.0
107,8/19/2016,28.0,2.0
108,8/20/2016,28.0,0.2
109,8/21/2016,24.0,0.1
110,8/22/2016,26.0,0.8
111,8/23/2016,26.0,0.3
112,8/24/2016,26.0,7.0
113,8/25/2016,27.0,14.0
114,8/26/2016,31.0,0.0
115,8/27/2016,28.0,0.0
116,8/28/2016,26.0,0.0
117,8/29/2016,28.0,18.0
118,8/30/2016,28.0,0.0
119,8/31/2016,30.0,4.0
120,9/1/2016,26.0,8.0
121,9/2/2016,28.0,0.8
122,9/3/2016,28.0,0.0
123,9/4/2016,100.0,0.0
124,9/5/2016,28.0,0.0
125,9/6/2016,28.0,0.0
